x (mm),Ic(A),Adjusted x(mm),Ic Calibrated (A),4 Reading Running Avg,3 Reading Running Avg,2 Reading Running Avg,30 % drop line,,,,,,,,,,,,
395.88,10.66,-147.73,16.23,17.74,17.33,17.53,57.75,,,,,,,,,,,,
397.86,12.36,-145.75,18.82,18.47,18.24,17.88,57.75,,,,,,,,,,,,
399.84,11.12,-143.77,16.93,18.98,18.35,17.95,57.75,,,,,,,,,,,,
401.82,12.45,-141.79,18.96,19.77,19.66,19.06,57.75,,,,,,,,,,,,
403.79,12.59,-139.82,19.17,19.55,20.04,20.01,57.75,,,,,,,,,,,,
405.77,13.69,-137.84,20.85,21.83,19.67,20.47,57.75,,,,,,,,,,,,
407.75,13.2,-135.86,20.10,20.61,22.16,19.09,57.75,,,,,,,,,,,,
409.72,11.87,-133.89,18.07,22.70,20.78,23.19,57.75,,,,,,,,,,,,
411.7,18.59,-131.91,28.31,23.84,24.24,22.13,57.75,,,,,,,,,,,,
413.68,10.48,-129.93,15.96,21.70,22.35,22.20,57.75,,,,,,,,,,,,
415.66,18.68,-127.95,28.44,21.89,23.62,25.54,57.75,,,,,,,,,,,,
417.63,14.87,-125.98,22.64,17.61,19.71,21.20,57.75,,,,,,,,,,,,
419.61,12.98,-124.00,19.76,15.86,15.93,18.24,57.75,,,,,,,,,,,,
421.59,10.98,-122.02,16.72,18.63,14.56,14.01,57.75,,,,,,,,,,,,
423.57,7.42,-120.04,11.30,18.63,19.26,13.48,57.75,,,,,,,,,,,,
425.54,10.29,-118.07,15.67,19.13,21.07,23.24,57.75,,,,,,,,,,,,
427.52,20.24,-116.09,30.82,18.55,20.28,23.78,57.75,,,,,,,,,,,,
429.5,10.99,-114.11,16.73,15.36,14.47,15.01,57.75,,,,,,,,,,,,
431.48,8.72,-112.13,13.28,15.51,14.90,13.33,57.75,,,,,,,,,,,,
433.45,8.79,-110.16,13.38,14.92,16.25,15.71,57.75,,,,,,,,,,,,
435.43,11.84,-108.18,18.03,16.31,15.44,17.69,57.75,,,,,,,,,,,,
437.41,11.39,-106.20,17.34,17.58,15.74,14.14,57.75,,,,,,,,,,,,
439.39,7.18,-104.22,10.93,21.31,17.65,14.94,57.75,,,,,,,,,,,,
441.36,12.44,-102.25,18.94,22.37,24.76,21.01,57.75,,,,,,,,,,,,
443.34,15.16,-100.27,23.08,23.24,23.52,27.68,57.75,,,,,,,,,,,,
445.3,21.19,-98.31,32.27,22.31,23.30,23.73,57.75,,,,,,,,,,,,
447.27,9.98,-96.34,15.20,18.92,18.99,18.81,57.75,,,,,,,,,,,,
449.24,14.73,-94.37,22.43,21.04,20.16,20.88,57.75,,,,,,,,,,,,
451.21,12.7,-92.40,19.34,20.29,20.58,19.02,57.75,,,,,,,,,,,,
453.18,12.28,-90.43,18.70,21.68,20.60,21.20,57.75,,,,,,,,,,,,
455.15,15.57,-88.46,23.71,20.80,22.67,21.55,57.75,,,,,,,,,,,,
457.12,12.74,-86.49,19.40,19.54,19.84,22.16,57.75,,,,,,,,,,,,
459.09,16.36,-84.52,24.91,19.35,19.59,20.05,57.75,,,,,,,,,,,,
461.06,9.98,-82.55,15.20,18.11,17.49,16.92,57.75,,,,,,,,,,,,
463.03,12.25,-80.58,18.65,22.00,19.08,18.64,57.75,,,,,,,,,,,,
465,12.23,-78.61,18.62,22.51,23.11,19.29,57.75,,,,,,,,,,,,
466.97,13.11,-76.64,19.96,24.39,23.80,25.36,57.75,,,,,,,,,,,,
468.94,20.2,-74.67,30.76,24.10,25.87,25.72,57.75,,,,,,,,,,,,
470.9,13.58,-72.71,20.68,20.42,21.88,23.43,57.75,,,,,,,,,,,,
472.87,17.19,-70.74,26.18,18.51,20.33,22.48,57.75,,,,,,,,,,,,
474.84,12.34,-68.77,18.79,18.06,15.95,17.41,57.75,,,,,,,,,,,,
476.81,10.53,-66.80,16.03,17.43,17.81,14.53,57.75,,,,,,,,,,,,
478.78,8.56,-64.83,13.03,17.84,17.90,18.70,57.75,,,,,,,,,,,,
480.75,16,-62.86,24.36,20.32,19.44,20.33,57.75,,,,,,,,,,,,
482.72,10.7,-60.89,16.29,19.81,18.97,16.98,57.75,,,,,,,,,,,,
484.69,11.6,-58.92,17.66,23.88,20.98,20.31,57.75,,,,,,,,,,,,
486.66,15.08,-56.95,22.96,24.72,25.95,22.64,57.75,,,,,,,,,,,,
488.63,14.66,-54.98,22.32,23.38,25.31,27.44,57.75,,,,,,,,,,,,
490.59,21.38,-53.02,32.56,24.28,23.73,26.81,57.75,,,,,,,,,,,,
492.56,13.83,-51.05,21.06,20.98,21.52,19.32,57.75,,,,,,,,,,,,
494.52,11.54,-49.09,17.57,21.31,20.95,21.74,57.75,,,,,,,,,,,,
496.48,17.02,-47.13,25.92,22.11,22.56,22.63,57.75,,,,,,,,,,,,
498.44,12.71,-45.17,19.35,20.53,20.85,20.88,57.75,,,,,,,,,,,,
500.4,14.72,-43.21,22.41,22.20,20.92,21.59,57.75,,,,,,,,,,,,
502.37,13.64,-41.24,20.77,21.03,22.12,20.18,57.75,,,,,,,,,,,,
504.33,12.86,-39.28,19.58,24.11,21.12,22.80,57.75,,,,,,,,,,,,
506.29,17.09,-37.32,26.02,23.13,25.62,21.89,57.75,,,,,,,,,,,,
508.25,11.66,-35.36,17.75,22.02,22.17,25.42,57.75,,,,,,,,,,,,
510.21,21.73,-33.40,33.09,20.79,23.44,24.37,57.75,,,,,,,,,,,,
512.18,10.28,-31.43,15.65,16.53,16.69,18.62,57.75,,,,,,,,,,,,
514.14,14.17,-29.47,21.58,14.58,16.83,17.21,57.75,,,,,,,,,,,,
516.1,8.43,-27.51,12.84,16.41,12.24,14.45,57.75,,,,,,,,,,,,
518.06,10.55,-25.55,16.06,18.51,17.61,11.95,57.75,,,,,,,,,,,,
520.02,5.14,-23.59,7.83,20.72,19.33,18.38,57.75,,,,,,,,,,,,
521.99,19,-21.62,28.93,23.69,25.01,25.08,57.75,,,,,,,,,,,,
523.95,13.94,-19.66,21.23,21.45,21.94,23.05,57.75,,,,,,,,,,,,
525.91,16.34,-17.70,24.88,21.09,21.52,22.30,57.75,,,,,,,,,,,,
527.87,12.95,-15.74,19.72,19.74,19.83,19.84,57.75,,,,,,,,,,,,
529.83,13.11,-13.78,19.96,18.47,19.75,19.89,57.75,,,,,,,,,,,,
531.8,13.01,-11.81,19.81,21.71,17.98,19.64,57.75,,,,,,,,,,,,
